,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,training_prediction_score,val_prediction_score,Homogeneity Score,Completeness Score,V_measure Score,Accuracy Score,Balanced Accuracy Score,F1 Score
0,39.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
1,33.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
2,51.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
3,31.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
4,57.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
5,41.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
6,52.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
7,40.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
8,53.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
9,54.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
10,59.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
11,58.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
12,38.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
13,55.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
14,37.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
15,36.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
16,56.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
17,34.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
18,42.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
19,35.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
20,48.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
21,30.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
22,47.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
23,50.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
24,43.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
25,46.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
26,32.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
27,49.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
28,45.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
29,44.0,2.0,1.0,950.0,0.8877509537807242,0.8877509537807242,0.1638360455740634,0.21523326750519686,0.18605023518040784,0.8564638188754768,0.6876837390850179,0.5155161494616846
